participant,NV,FV,EV,DV
3,30.416050229752365,27.437670122950546,26.213429253700767,24.70799107594042
4,30.413298316885815,29.258152698343974,26.00957416251372,26.051995211686933
5,31.302468677552366,27.21190185858787,28.503757861861985,27.291935990779194
6,32.338788287303615,30.353625025232667,30.289797603415398,28.89404915725403
7,30.69520083341379,31.6158324751093,32.94764273475294,30.928730588958864
8,33.339933167932664,33.68484086264015,33.5311073981583,31.645170254307672
9,36.0672696033886,35.8605891152144,33.99412628448303,34.31414471200812
10,28.75011767112699,27.431798064963175,26.872109175997167,24.467549799899235
11,29.298650075797095,27.098804735923068,27.04754419019706,25.167280561354957
12,30.803049702879854,29.002001861005443,29.27419782577608,28.135970535982434
13,30.74298208600453,26.72339202358783,25.25799887854823,22.636514434408777
14,33.739936318176106,36.186803707569545,31.817675937719404,30.06509608919898
15,32.94033910809173,32.25316737991251,31.1485526215508,29.895238824218886
